0.00,-0.12,0.00,-0.12,
0.00,-0.12,0.00,-0.12,
-0.11,0.12,-0.09,0.09,
-0.16,0.00,-0.16,0.00,
-0.33,0.00,-0.31,-0.01,
-0.15,0.07,-0.14,0.06,
-0.15,0.07,-0.14,0.06,
-0.15,0.07,-0.14,0.06,
-0.11,0.12,-0.09,0.09,
-0.30,0.14,-0.28,0.12,
-0.23,0.23,-0.18,0.19,
-0.16,0.30,-0.12,0.28,
0.49,0.47,0.48,0.50,
1.27,0.45,1.18,0.59,
1.41,0.00,1.27,0.10,
1.27,0.45,1.18,0.59,
1.27,0.45,1.18,0.59,
1.27,0.45,1.18,0.59,
0.61,0.20,0.60,0.28,
0.42,0.40,0.43,0.47,
0.12,0.29,0.13,0.30,
-0.33,0.60,-0.25,0.56,
-0.31,0.61,-0.24,0.60,
0.12,0.29,0.13,0.30,
0.21,0.58,0.25,0.64,
0.23,0.61,0.26,0.62,
0.21,0.58,0.25,0.64,
-0.01,0.64,0.03,0.65,
-0.31,0.61,-0.24,0.60,
-0.28,0.62,-0.23,0.59,
-0.01,0.64,0.03,0.65,
-0.01,0.66,0.03,0.65,
0.21,0.20,0.22,0.23,
0.60,0.23,0.58,0.30,
0.64,0.00,0.62,0.05,
0.63,0.22,0.59,0.29,
1.41,0.00,1.27,0.10,
1.41,0.00,1.27,0.10,
1.41,0.00,1.27,0.10,
1.41,0.00,1.27,0.10,
1.41,0.00,1.27,0.10,
1.41,0.00,1.27,0.10,
1.26,-0.51,1.13,-0.42,
0.63,-0.25,0.56,-0.21,
0.47,-0.48,0.35,-0.37,
0.24,-0.24,0.18,-0.18,
0.47,-0.48,0.35,-0.37,
0.15,-0.30,0.12,-0.28,
